#Station Long Name,Lake Albert (Calculated Mean Lake Level)
#Station Number,LKALBERT
#Station Location Latitude,-35.6289
#Station Location Longitude,139.302
#Parameter Type Name,Storage Level
#Timeseries Name,PR02AHDQaQc.Merged.DailyMean.24HR
#Unit Name,meter
#DATA_OWNER_NAME,MDB - Murray-Darling Basin Authority
#Rows,5190
#Timestamp,Value,Quality Code,Interpolation Type
2006-10-21T00:00:00.000+10:00,0.735,10,603
2006-10-22T00:00:00.000+10:00,0.698,10,603
2006-10-23T00:00:00.000+10:00,0.698,10,603
2006-10-24T00:00:00.000+10:00,0.686,10,603
2006-10-25T00:00:00.000+10:00,0.703,10,603
2006-10-26T00:00:00.000+10:00,0.715,10,603
2006-10-27T00:00:00.000+10:00,0.690,10,603
2006-10-28T00:00:00.000+10:00,0.664,10,603
2006-10-29T00:00:00.000+10:00,0.648,10,603
2006-10-30T00:00:00.000+10:00,0.655,10,603
2006-10-31T00:00:00.000+10:00,0.656,10,603
2006-11-01T00:00:00.000+10:00,0.661,10,603
2006-11-02T00:00:00.000+10:00,0.672,140,603
2006-11-03T00:00:00.000+10:00,0.683,140,603
2006-11-04T00:00:00.000+10:00,0.689,140,603
2006-11-05T00:00:00.000+10:00,0.678,140,603
2006-11-06T00:00:00.000+10:00,0.649,10,603
2006-11-07T00:00:00.000+10:00,0.619,10,603
2006-11-08T00:00:00.000+10:00,0.563,10,603
2006-11-09T00:00:00.000+10:00,0.514,10,603
2006-11-10T00:00:00.000+10:00,0.505,10,603
2006-11-11T00:00:00.000+10:00,0.537,10,603
2006-11-12T00:00:00.000+10:00,0.596,10,603
2006-11-13T00:00:00.000+10:00,0.652,10,603
2006-11-14T00:00:00.000+10:00,0.669,10,603
2006-11-15T00:00:00.000+10:00,0.653,10,603
2006-11-16T00:00:00.000+10:00,0.626,10,603
2006-11-17T00:00:00.000+10:00,0.588,10,603
2006-11-18T00:00:00.000+10:00,0.585,10,603
2006-11-19T00:00:00.000+10:00,0.596,10,603
2006-11-20T00:00:00.000+10:00,0.638,10,603
2006-11-21T00:00:00.000+10:00,0.663,10,603
2006-11-22T00:00:00.000+10:00,0.674,10,603
2006-11-23T00:00:00.000+10:00,0.682,10,603
2006-11-24T00:00:00.000+10:00,0.675,10,603
2006-11-25T00:00:00.000+10:00,0.662,10,603
2006-11-26T00:00:00.000+10:00,0.639,10,603
2006-11-27T00:00:00.000+10:00,0.607,10,603
2006-11-28T00:00:00.000+10:00,0.568,10,603
2006-11-29T00:00:00.000+10:00,0.547,10,603
2006-11-30T00:00:00.000+10:00,0.555,10,603
2006-12-01T00:00:00.000+10:00,0.575,10,603
2006-12-02T00:00:00.000+10:00,0.587,10,603
2006-12-03T00:00:00.000+10:00,0.586,10,603
2006-12-04T00:00:00.000+10:00,0.565,10,603
2006-12-05T00:00:00.000+10:00,0.547,10,603
2006-12-06T00:00:00.000+10:00,0.545,10,603
2006-12-07T00:00:00.000+10:00,0.554,10,603
2006-12-08T00:00:00.000+10:00,0.536,10,603
2006-12-09T00:00:00.000+10:00,0.515,10,603
2006-12-10T00:00:00.000+10:00,0.514,10,603
2006-12-11T00:00:00.000+10:00,0.536,10,603
2006-12-12T00:00:00.000+10:00,0.537,10,603
2006-12-13T00:00:00.000+10:00,0.497,10,603
2006-12-14T00:00:00.000+10:00,0.462,10,603
2006-12-15T00:00:00.000+10:00,0.460,10,603
2006-12-16T00:00:00.000+10:00,0.474,10,603
2006-12-17T00:00:00.000+10:00,0.466,10,603
2006-12-18T00:00:00.000+10:00,0.445,10,603
2006-12-19T00:00:00.000+10:00,0.444,10,603
2006-12-20T00:00:00.000+10:00,0.458,10,603
2006-12-21T00:00:00.000+10:00,0.463,10,603
2006-12-22T00:00:00.000+10:00,0.467,10,603
2006-12-23T00:00:00.000+10:00,0.480,10,603
2006-12-24T00:00:00.000+10:00,0.482,10,603
2006-12-25T00:00:00.000+10:00,0.451,10,603
2006-12-26T00:00:00.000+10:00,0.407,10,603
2006-12-27T00:00:00.000+10:00,0.372,10,603
2006-12-28T00:00:00.000+10:00,0.371,10,603
2006-12-29T00:00:00.000+10:00,0.379,10,603
2006-12-30T00:00:00.000+10:00,0.389,10,603
2006-12-31T00:00:00.000+10:00,0.394,10,603
2007-01-01T00:00:00.000+10:00,0.399,10,603
2007-01-02T00:00:00.000+10:00,0.407,10,603
2007-01-03T00:00:00.000+10:00,0.408,10,603
2007-01-04T00:00:00.000+10:00,0.412,10,603
2007-01-05T00:00:00.000+10:00,0.423,10,603
2007-01-06T00:00:00.000+10:00,0.445,10,603
2007-01-07T00:00:00.000+10:00,0.465,10,603
2007-01-08T00:00:00.000+10:00,0.484,10,603
2007-01-09T00:00:00.000+10:00,0.458,10,603
2007-01-10T00:00:00.000+10:00,0.420,10,603
2007-01-11T00:00:00.000+10:00,0.385,10,603
2007-01-12T00:00:00.000+10:00,0.396,10,603
2007-01-13T00:00:00.000+10:00,0.407,10,603
2007-01-14T00:00:00.000+10:00,0.393,10,603
2007-01-15T00:00:00.000+10:00,0.350,10,603
2007-01-16T00:00:00.000+10:00,0.313,10,603
2007-01-17T00:00:00.000+10:00,0.305,10,603
2007-01-18T00:00:00.000+10:00,0.326,10,603
2007-01-19T00:00:00.000+10:00,0.342,10,603
2007-01-20T00:00:00.000+10:00,0.355,10,603
2007-01-21T00:00:00.000+10:00,0.387,10,603
2007-01-22T00:00:00.000+10:00,0.458,10,603
2007-01-23T00:00:00.000+10:00,0.487,10,603
2007-01-24T00:00:00.000+10:00,0.466,10,603
2007-01-25T00:00:00.000+10:00,0.402,10,603
2007-01-26T00:00:00.000+10:00,0.367,10,603
2007-01-27T00:00:00.000+10:00,0.352,10,603
2007-01-28T00:00:00.000+10:00,0.330,10,603
2007-01-29T00:00:00.000+10:00,0.301,10,603
2007-01-30T00:00:00.000+10:00,0.294,10,603
2007-01-31T00:00:00.000+10:00,0.313,10,603
2007-02-01T00:00:00.000+10:00,0.332,10,603
2007-02-02T00:00:00.000+10:00,0.322,110,603
2007-02-03T00:00:00.000+10:00,0.315,110,603
2007-02-04T00:00:00.000+10:00,0.323,110,603
2007-02-05T00:00:00.000+10:00,0.338,110,603
2007-02-06T00:00:00.000+10:00,0.337,110,603
2007-02-07T00:00:00.000+10:00,0.296,110,603
2007-02-08T00:00:00.000+10:00,0.231,110,603
2007-02-09T00:00:00.000+10:00,0.181,110,603
2007-02-10T00:00:00.000+10:00,0.177,110,603
2007-02-11T00:00:00.000+10:00,0.201,110,603
2007-02-12T00:00:00.000+10:00,0.193,10,603
2007-02-13T00:00:00.000+10:00,0.172,10,603
2007-02-14T00:00:00.000+10:00,0.173,10,603
2007-02-15T00:00:00.000+10:00,0.205,10,603
2007-02-16T00:00:00.000+10:00,0.244,10,603
2007-02-17T00:00:00.000+10:00,0.273,10,603
2007-02-18T00:00:00.000+10:00,0.301,10,603
2007-02-19T00:00:00.000+10:00,0.324,10,603
2007-02-20T00:00:00.000+10:00,0.326,10,603
2007-02-21T00:00:00.000+10:00,0.309,10,603
2007-02-22T00:00:00.000+10:00,0.281,10,603
2007-02-23T00:00:00.000+10:00,0.263,10,603
2007-02-24T00:00:00.000+10:00,0.261,10,603
2007-02-25T00:00:00.000+10:00,0.261,10,603
2007-02-26T00:00:00.000+10:00,0.232,10,603
2007-02-27T00:00:00.000+10:00,0.188,10,603
2007-02-28T00:00:00.000+10:00,0.170,10,603
2007-03-01T00:00:00.000+10:00,0.192,10,603
2007-03-02T00:00:00.000+10:00,0.226,10,603
2007-03-03T00:00:00.000+10:00,0.245,10,603
2007-03-04T00:00:00.000+10:00,0.259,10,603
2007-03-05T00:00:00.000+10:00,0.262,10,603
2007-03-06T00:00:00.000+10:00,0.243,10,603
2007-03-07T00:00:00.000+10:00,0.192,10,603
2007-03-08T00:00:00.000+10:00,0.153,10,603
2007-03-09T00:00:00.000+10:00,0.140,10,603
2007-03-10T00:00:00.000+10:00,0.153,10,603
2007-03-11T00:00:00.000+10:00,0.174,110,603
2007-03-12T00:00:00.000+10:00,0.194,110,603
2007-03-13T00:00:00.000+10:00,0.205,110,603
2007-03-14T00:00:00.000+10:00,0.194,110,603
2007-03-15T00:00:00.000+10:00,0.172,110,603
2007-03-16T00:00:00.000+10:00,0.165,110,603
2007-03-17T00:00:00.000+10:00,0.179,110,603
2007-03-18T00:00:00.000+10:00,0.184,110,603
2007-03-19T00:00:00.000+10:00,0.170,110,603
2007-03-20T00:00:00.000+10:00,0.153,110,603
2007-03-21T00:00:00.000+10:00,0.162,110,603
2007-03-22T00:00:00.000+10:00,0.190,110,603
2007-03-23T00:00:00.000+10:00,0.205,10,603
2007-03-24T00:00:00.000+10:00,0.211,10,603
2007-03-25T00:00:00.000+10:00,0.201,10,603
2007-03-26T00:00:00.000+10:00,0.176,10,603
2007-03-27T00:00:00.000+10:00,0.144,10,603
2007-03-28T00:00:00.000+10:00,0.136,10,603
2007-03-29T00:00:00.000+10:00,0.166,10,603
2007-03-30T00:00:00.000+10:00,0.207,10,603
2007-03-31T00:00:00.000+10:00,0.227,10,603
2007-04-01T00:00:00.000+10:00,0.209,10,603
2007-04-02T00:00:00.000+10:00,0.177,10,603
2007-04-03T00:00:00.000+10:00,0.148,10,603
2007-04-04T00:00:00.000+10:00,0.130,10,603
2007-04-05T00:00:00.000+10:00,0.109,10,603
2007-04-06T00:00:00.000+10:00,0.095,10,603
2007-04-07T00:00:00.000+10:00,0.086,10,603
2007-04-08T00:00:00.000+10:00,0.080,10,603
2007-04-09T00:00:00.000+10:00,0.081,10,603
2007-04-10T00:00:00.000+10:00,0.098,10,603
2007-04-11T00:00:00.000+10:00,0.124,10,603
2007-04-12T00:00:00.000+10:00,0.140,10,603
2007-04-13T00:00:00.000+10:00,0.143,10,603
2007-04-14T00:00:00.000+10:00,0.140,10,603
2007-04-15T00:00:00.000+10:00,0.137,10,603
2007-04-16T00:00:00.000+10:00,0.131,10,603
2007-04-17T00:00:00.000+10:00,0.118,10,603
2007-04-18T00:00:00.000+10:00,0.108,10,603
2007-04-19T00:00:00.000+10:00,0.106,10,603
2007-04-20T00:00:00.000+10:00,0.102,10,603
2007-04-21T00:00:00.000+10:00,0.099,10,603
2007-04-22T00:00:00.000+10:00,0.095,10,603
2007-04-23T00:00:00.000+10:00,0.091,10,603
2007-04-24T00:00:00.000+10:00,0.087,10,603
2007-04-25T00:00:00.000+10:00,0.084,10,603
2007-04-26T00:00:00.000+10:00,0.080,10,603
2007-04-27T00:00:00.000+10:00,0.087,10,603
2007-04-28T00:00:00.000+10:00,0.124,10,603
2007-04-29T00:00:00.000+10:00,0.155,10,603
2007-04-30T00:00:00.000+10:00,0.151,10,603
2007-05-01T00:00:00.000+10:00,0.165,10,603
2007-05-02T00:00:00.000+10:00,0.177,10,603
2007-05-03T00:00:00.000+10:00,0.204,10,603
2007-05-04T00:00:00.000+10:00,0.237,10,603
2007-05-05T00:00:00.000+10:00,0.270,10,603
2007-05-06T00:00:00.000+10:00,0.274,10,603
2007-05-07T00:00:00.000+10:00,0.258,10,603
2007-05-08T00:00:00.000+10:00,0.223,10,603
2007-05-09T00:00:00.000+10:00,0.200,10,603
2007-05-10T00:00:00.000+10:00,0.173,10,603
2007-05-11T00:00:00.000+10:00,0.146,10,603
2007-05-12T00:00:00.000+10:00,0.118,10,603
2007-05-13T00:00:00.000+10:00,0.106,10,603
2007-05-14T00:00:00.000+10:00,0.109,10,603
2007-05-15T00:00:00.000+10:00,0.121,10,603
2007-05-16T00:00:00.000+10:00,0.134,10,603
2007-05-17T00:00:00.000+10:00,0.142,10,603
2007-05-18T00:00:00.000+10:00,0.144,10,603
2007-05-19T00:00:00.000+10:00,0.147,10,603
2007-05-20T00:00:00.000+10:00,0.157,10,603
2007-05-21T00:00:00.000+10:00,0.182,90,603
2007-05-22T00:00:00.000+10:00,0.211,90,603
2007-05-23T00:00:00.000+10:00,0.233,90,603
2007-05-24T00:00:00.000+10:00,0.236,90,603
2007-05-25T00:00:00.000+10:00,0.234,90,603
2007-05-26T00:00:00.000+10:00,0.228,90,603
2007-05-27T00:00:00.000+10:00,0.221,90,603
2007-05-28T00:00:00.000+10:00,0.209,10,603
2007-05-29T00:00:00.000+10:00,0.198,10,603
2007-05-30T00:00:00.000+10:00,0.207,110,603
2007-05-31T00:00:00.000+10:00,0.237,110,603
2007-06-01T00:00:00.000+10:00,0.260,110,603
2007-06-02T00:00:00.000+10:00,0.261,110,603
2007-06-03T00:00:00.000+10:00,0.237,110,603
2007-06-04T00:00:00.000+10:00,0.213,110,603
2007-06-05T00:00:00.000+10:00,0.192,110,603
2007-06-06T00:00:00.000+10:00,0.169,90,603
2007-06-07T00:00:00.000+10:00,0.152,90,603
2007-06-08T00:00:00.000+10:00,0.139,10,603
2007-06-09T00:00:00.000+10:00,0.130,10,603
2007-06-10T00:00:00.000+10:00,0.121,10,603
2007-06-11T00:00:00.000+10:00,0.128,10,603
2007-06-12T00:00:00.000+10:00,0.146,10,603
2007-06-13T00:00:00.000+10:00,0.155,10,603
2007-06-14T00:00:00.000+10:00,0.157,10,603
2007-06-15T00:00:00.000+10:00,0.156,90,603
2007-06-16T00:00:00.000+10:00,0.161,90,603
2007-06-17T00:00:00.000+10:00,0.170,90,603
2007-06-18T00:00:00.000+10:00,0.181,90,603
2007-06-19T00:00:00.000+10:00,0.179,90,603
2007-06-20T00:00:00.000+10:00,0.160,90,603
2007-06-21T00:00:00.000+10:00,0.140,90,603
2007-06-22T00:00:00.000+10:00,0.138,90,603
2007-06-23T00:00:00.000+10:00,0.146,90,603
2007-06-24T00:00:00.000+10:00,0.163,90,603
2007-06-25T00:00:00.000+10:00,0.181,90,603
2007-06-26T00:00:00.000+10:00,0.208,90,603
2007-06-27T00:00:00.000+10:00,0.226,90,603
2007-06-28T00:00:00.000+10:00,0.220,90,603
2007-06-29T00:00:00.000+10:00,0.193,10,603
2007-06-30T00:00:00.000+10:00,0.178,10,603
2007-07-01T00:00:00.000+10:00,0.186,10,603
2007-07-02T00:00:00.000+10:00,0.210,10,603
2007-07-03T00:00:00.000+10:00,0.229,10,603
2007-07-04T00:00:00.000+10:00,0.244,10,603
2007-07-05T00:00:00.000+10:00,0.273,10,603
2007-07-06T00:00:00.000+10:00,0.320,10,603
2007-07-07T00:00:00.000+10:00,0.339,10,603
2007-07-08T00:00:00.000+10:00,0.335,10,603
2007-07-09T00:00:00.000+10:00,0.279,10,603
2007-07-10T00:00:00.000+10:00,0.240,10,603
2007-07-11T00:00:00.000+10:00,0.214,10,603
2007-07-12T00:00:00.000+10:00,0.221,10,603
2007-07-13T00:00:00.000+10:00,0.228,10,603
2007-07-14T00:00:00.000+10:00,0.226,10,603
2007-07-15T00:00:00.000+10:00,0.219,10,603
2007-07-16T00:00:00.000+10:00,0.224,10,603
2007-07-17T00:00:00.000+10:00,0.248,10,603
2007-07-18T00:00:00.000+10:00,0.284,10,603
2007-07-19T00:00:00.000+10:00,0.298,10,603
2007-07-20T00:00:00.000+10:00,0.286,10,603
2007-07-21T00:00:00.000+10:00,0.261,10,603
2007-07-22T00:00:00.000+10:00,0.248,10,603
2007-07-23T00:00:00.000+10:00,0.251,10,603
2007-07-24T00:00:00.000+10:00,0.259,10,603
2007-07-25T00:00:00.000+10:00,0.268,10,603
2007-07-26T00:00:00.000+10:00,0.271,10,603
2007-07-27T00:00:00.000+10:00,0.275,10,603
2007-07-28T00:00:00.000+10:00,0.281,10,603
2007-07-29T00:00:00.000+10:00,0.289,10,603
2007-07-30T00:00:00.000+10:00,0.289,10,603
2007-07-31T00:00:00.000+10:00,0.287,10,603
2007-08-01T00:00:00.000+10:00,0.285,10,603
2007-08-02T00:00:00.000+10:00,0.308,10,603
2007-08-03T00:00:00.000+10:00,0.339,10,603
2007-08-04T00:00:00.000+10:00,0.361,10,603
2007-08-05T00:00:00.000+10:00,0.349,10,603
2007-08-06T00:00:00.000+10:00,0.328,10,603
2007-08-07T00:00:00.000+10:00,0.308,10,603
2007-08-08T00:00:00.000+10:00,0.303,10,603
2007-08-09T00:00:00.000+10:00,0.314,10,603
2007-08-10T00:00:00.000+10:00,0.346,10,603
2007-08-11T00:00:00.000+10:00,0.386,10,603
2007-08-12T00:00:00.000+10:00,0.411,10,603
2007-08-13T00:00:00.000+10:00,0.403,10,603
2007-08-14T00:00:00.000+10:00,0.360,10,603
2007-08-15T00:00:00.000+10:00,0.306,10,603
2007-08-16T00:00:00.000+10:00,0.272,10,603
2007-08-17T00:00:00.000+10:00,0.263,10,603
2007-08-18T00:00:00.000+10:00,0.260,10,603
2007-08-19T00:00:00.000+10:00,0.252,10,603
2007-08-20T00:00:00.000+10:00,0.247,10,603
2007-08-21T00:00:00.000+10:00,0.249,10,603
2007-08-22T00:00:00.000+10:00,0.253,10,603
2007-08-23T00:00:00.000+10:00,0.246,10,603
2007-08-24T00:00:00.000+10:00,0.239,10,603
2007-08-25T00:00:00.000+10:00,0.241,10,603
2007-08-26T00:00:00.000+10:00,0.250,10,603
2007-08-27T00:00:00.000+10:00,0.258,10,603
2007-08-28T00:00:00.000+10:00,0.264,10,603
2007-08-29T00:00:00.000+10:00,0.277,10,603
2007-08-30T00:00:00.000+10:00,0.283,10,603
2007-08-31T00:00:00.000+10:00,0.291,10,603
2007-09-01T00:00:00.000+10:00,0.310,10,603
2007-09-02T00:00:00.000+10:00,0.314,10,603
2007-09-03T00:00:00.000+10:00,0.300,10,603
2007-09-04T00:00:00.000+10:00,0.255,10,603
2007-09-05T00:00:00.000+10:00,0.221,10,603
2007-09-06T00:00:00.000+10:00,0.199,10,603
2007-09-07T00:00:00.000+10:00,0.198,10,603
2007-09-08T00:00:00.000+10:00,0.213,10,603
2007-09-09T00:00:00.000+10:00,0.224,10,603
2007-09-10T00:00:00.000+10:00,0.231,10,603
2007-09-11T00:00:00.000+10:00,0.252,10,603
2007-09-12T00:00:00.000+10:00,0.278,10,603
2007-09-13T00:00:00.000+10:00,0.283,10,603
2007-09-14T00:00:00.000+10:00,0.275,10,603
2007-09-15T00:00:00.000+10:00,0.274,10,603
2007-09-16T00:00:00.000+10:00,0.280,10,603
2007-09-17T00:00:00.000+10:00,0.287,10,603
2007-09-18T00:00:00.000+10:00,0.287,10,603
2007-09-19T00:00:00.000+10:00,0.276,10,603
2007-09-20T00:00:00.000+10:00,0.266,10,603
2007-09-21T00:00:00.000+10:00,0.251,10,603
2007-09-22T00:00:00.000+10:00,0.244,10,603
2007-09-23T00:00:00.000+10:00,0.224,10,603
2007-09-24T00:00:00.000+10:00,0.208,10,603
2007-09-25T00:00:00.000+10:00,0.202,10,603
2007-09-26T00:00:00.000+10:00,0.196,10,603
2007-09-27T00:00:00.000+10:00,0.198,10,603
2007-09-28T00:00:00.000+10:00,0.228,10,603
2007-09-29T00:00:00.000+10:00,0.296,10,603
2007-09-30T00:00:00.000+10:00,0.341,10,603
2007-10-01T00:00:00.000+10:00,0.351,10,603
2007-10-02T00:00:00.000+10:00,0.323,10,603
2007-10-03T00:00:00.000+10:00,0.290,10,603
2007-10-04T00:00:00.000+10:00,0.274,10,603
2007-10-05T00:00:00.000+10:00,0.265,10,603
2007-10-06T00:00:00.000+10:00,0.260,10,603
2007-10-07T00:00:00.000+10:00,0.230,10,603
2007-10-08T00:00:00.000+10:00,0.187,10,603
2007-10-09T00:00:00.000+10:00,0.153,10,603
2007-10-10T00:00:00.000+10:00,0.137,10,603
2007-10-11T00:00:00.000+10:00,0.144,10,603
2007-10-12T00:00:00.000+10:00,0.164,10,603
2007-10-13T00:00:00.000+10:00,0.166,10,603
2007-10-14T00:00:00.000+10:00,0.151,10,603
2007-10-15T00:00:00.000+10:00,0.133,10,603
2007-10-16T00:00:00.000+10:00,0.140,10,603
2007-10-17T00:00:00.000+10:00,0.149,10,603
2007-10-18T00:00:00.000+10:00,0.129,10,603
2007-10-19T00:00:00.000+10:00,0.115,10,603
2007-10-20T00:00:00.000+10:00,0.109,10,603
2007-10-21T00:00:00.000+10:00,0.114,10,603
2007-10-22T00:00:00.000+10:00,0.118,10,603
2007-10-23T00:00:00.000+10:00,0.118,10,603
2007-10-24T00:00:00.000+10:00,0.108,10,603
2007-10-25T00:00:00.000+10:00,0.068,10,603
2007-10-26T00:00:00.000+10:00,0.023,10,603
2007-10-27T00:00:00.000+10:00,0.006,10,603
2007-10-28T00:00:00.000+10:00,0.032,10,603
2007-10-29T00:00:00.000+10:00,0.100,10,603
2007-10-30T00:00:00.000+10:00,0.188,10,603
2007-10-31T00:00:00.000+10:00,0.239,10,603
2007-11-01T00:00:00.000+10:00,0.229,10,603
2007-11-02T00:00:00.000+10:00,0.178,10,603
2007-11-03T00:00:00.000+10:00,0.135,10,603
2007-11-04T00:00:00.000+10:00,0.093,10,603
2007-11-05T00:00:00.000+10:00,0.037,10,603
2007-11-06T00:00:00.000+10:00,-0.022,10,603
2007-11-07T00:00:00.000+10:00,-0.055,10,603
2007-11-08T00:00:00.000+10:00,-0.052,10,603
2007-11-09T00:00:00.000+10:00,-0.027,10,603
2007-11-10T00:00:00.000+10:00,0.004,10,603
2007-11-11T00:00:00.000+10:00,0.033,10,603
2007-11-12T00:00:00.000+10:00,0.052,10,603
2007-11-13T00:00:00.000+10:00,0.055,10,603
2007-11-14T00:00:00.000+10:00,0.055,10,603
2007-11-15T00:00:00.000+10:00,0.057,10,603
2007-11-16T00:00:00.000+10:00,0.060,10,603
2007-11-17T00:00:00.000+10:00,0.064,10,603
2007-11-18T00:00:00.000+10:00,0.068,10,603
2007-11-19T00:00:00.000+10:00,0.071,10,603
2007-11-20T00:00:00.000+10:00,0.070,10,603
2007-11-21T00:00:00.000+10:00,0.061,10,603
2007-11-22T00:00:00.000+10:00,0.039,10,603
2007-11-23T00:00:00.000+10:00,0.000,10,603
2007-11-24T00:00:00.000+10:00,-0.034,10,603
2007-11-25T00:00:00.000+10:00,-0.050,10,603
2007-11-26T00:00:00.000+10:00,-0.061,10,603
2007-11-27T00:00:00.000+10:00,-0.083,10,603
2007-11-28T00:00:00.000+10:00,-0.100,10,603
2007-11-29T00:00:00.000+10:00,-0.099,10,603
2007-11-30T00:00:00.000+10:00,-0.082,10,603
2007-12-01T00:00:00.000+10:00,-0.063,10,603
2007-12-02T00:00:00.000+10:00,-0.054,10,603
2007-12-03T00:00:00.000+10:00,-0.040,10,603
2007-12-04T00:00:00.000+10:00,-0.021,10,603
2007-12-05T00:00:00.000+10:00,-0.002,10,603
2007-12-06T00:00:00.000+10:00,-0.000,10,603
2007-12-07T00:00:00.000+10:00,-0.006,10,603
2007-12-08T00:00:00.000+10:00,0.002,10,603
2007-12-09T00:00:00.000+10:00,0.007,10,603
2007-12-10T00:00:00.000+10:00,0.005,10,603
2007-12-11T00:00:00.000+10:00,-0.020,10,603
2007-12-12T00:00:00.000+10:00,-0.039,10,603
2007-12-13T00:00:00.000+10:00,-0.061,10,603
2007-12-14T00:00:00.000+10:00,-0.080,10,603
2007-12-15T00:00:00.000+10:00,-0.085,10,603
2007-12-16T00:00:00.000+10:00,-0.090,10,603
2007-12-17T00:00:00.000+10:00,-0.114,10,603
2007-12-18T00:00:00.000+10:00,-0.160,10,603
2007-12-19T00:00:00.000+10:00,-0.191,10,603
2007-12-20T00:00:00.000+10:00,-0.182,10,603
2007-12-21T00:00:00.000+10:00,-0.153,10,603
2007-12-22T00:00:00.000+10:00,-0.130,10,603
2007-12-23T00:00:00.000+10:00,-0.116,10,603
2007-12-24T00:00:00.000+10:00,-0.119,10,603
2007-12-25T00:00:00.000+10:00,-0.119,10,603
2007-12-26T00:00:00.000+10:00,-0.138,10,603
2007-12-27T00:00:00.000+10:00,-0.148,10,603
2007-12-28T00:00:00.000+10:00,-0.151,10,603
2007-12-29T00:00:00.000+10:00,-0.136,10,603
2007-12-30T00:00:00.000+10:00,-0.117,10,603
2007-12-31T00:00:00.000+10:00,-0.110,10,603
2008-01-01T00:00:00.000+10:00,-0.105,10,603
2008-01-02T00:00:00.000+10:00,-0.109,10,603
2008-01-03T00:00:00.000+10:00,-0.142,10,603
2008-01-04T00:00:00.000+10:00,-0.211,10,603
2008-01-05T00:00:00.000+10:00,-0.259,10,603
2008-01-06T00:00:00.000+10:00,-0.263,10,603
2008-01-07T00:00:00.000+10:00,-0.238,10,603
2008-01-08T00:00:00.000+10:00,-0.244,90,603
2008-01-09T00:00:00.000+10:00,-0.263,90,603
2008-01-10T00:00:00.000+10:00,-0.277,90,603
2008-01-11T00:00:00.000+10:00,-0.265,90,603
2008-01-12T00:00:00.000+10:00,-0.251,90,603
2008-01-13T00:00:00.000+10:00,-0.252,90,603
2008-01-14T00:00:00.000+10:00,-0.256,90,603
2008-01-15T00:00:00.000+10:00,-0.274,90,603
2008-01-16T00:00:00.000+10:00,-0.281,90,603
2008-01-17T00:00:00.000+10:00,-0.308,90,603
2008-01-18T00:00:00.000+10:00,-0.349,90,603
2008-01-19T00:00:00.000+10:00,-0.387,90,603
2008-01-20T00:00:00.000+10:00,-0.398,90,603
2008-01-21T00:00:00.000+10:00,-0.400,140,603
2008-01-22T00:00:00.000+10:00,-0.421,140,603
2008-01-23T00:00:00.000+10:00,-0.459,140,603
2008-01-24T00:00:00.000+10:00,-0.475,140,603
2008-01-25T00:00:00.000+10:00,-0.459,140,603
2008-01-26T00:00:00.000+10:00,-0.434,140,603
2008-01-27T00:00:00.000+10:00,-0.407,140,603
2008-01-28T00:00:00.000+10:00,-0.390,140,603
2008-01-29T00:00:00.000+10:00,-0.378,90,603
2008-01-30T00:00:00.000+10:00,-0.375,90,603
2008-01-31T00:00:00.000+10:00,-0.374,90,603
2008-02-01T00:00:00.000+10:00,-0.384,140,603
2008-02-02T00:00:00.000+10:00,-0.411,140,603
2008-02-03T00:00:00.000+10:00,-0.432,140,603
2008-02-04T00:00:00.000+10:00,-0.442,140,603
2008-02-05T00:00:00.000+10:00,-0.433,140,603
2008-02-06T00:00:00.000+10:00,-0.442,140,603
2008-02-07T00:00:00.000+10:00,-0.466,140,603
2008-02-08T00:00:00.000+10:00,-0.493,140,603
2008-02-09T00:00:00.000+10:00,-0.504,140,603
2008-02-10T00:00:00.000+10:00,-0.504,140,603
2008-02-11T00:00:00.000+10:00,-0.506,140,603
2008-02-12T00:00:00.000+10:00,-0.509,140,603
2008-02-13T00:00:00.000+10:00,-0.511,140,603
2008-02-14T00:00:00.000+10:00,-0.513,140,603
2008-02-15T00:00:00.000+10:00,-0.517,140,603
2008-02-16T00:00:00.000+10:00,-0.521,140,603
2008-02-17T00:00:00.000+10:00,-0.505,140,603
2008-02-18T00:00:00.000+10:00,-0.449,140,603
2008-02-19T00:00:00.000+10:00,-0.409,140,603
2008-02-20T00:00:00.000+10:00,-0.418,140,603
2008-02-21T00:00:00.000+10:00,-0.468,140,603
2008-02-22T00:00:00.000+10:00,-0.508,140,603
2008-02-23T00:00:00.000+10:00,-0.512,140,603
2008-02-24T00:00:00.000+10:00,-0.507,140,603
2008-02-25T00:00:00.000+10:00,-0.500,140,603
2008-02-26T00:00:00.000+10:00,-0.500,140,603
2008-02-27T00:00:00.000+10:00,-0.509,140,603
2008-02-28T00:00:00.000+10:00,-0.512,140,603
2008-02-29T00:00:00.000+10:00,-0.515,140,603
2008-03-01T00:00:00.000+10:00,-0.517,140,603
2008-03-02T00:00:00.000+10:00,-0.519,140,603
2008-03-03T00:00:00.000+10:00,-0.520,140,603
2008-03-04T00:00:00.000+10:00,-0.521,140,603
2008-03-05T00:00:00.000+10:00,-0.522,140,603
2008-03-06T00:00:00.000+10:00,-0.523,140,603
2008-03-07T00:00:00.000+10:00,-0.523,140,603
2008-03-08T00:00:00.000+10:00,-0.523,140,603
2008-03-09T00:00:00.000+10:00,-0.524,140,603
2008-03-10T00:00:00.000+10:00,-0.524,140,603
